speech,model,cef,utterance_length,utterance_count,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper
hmi,chirp,A1,1,234,0.0,0.0,0.0
hmi,chirp,A1,2,269,0.050186,0.032197,0.068174
hmi,chirp,A1,3,270,0.069136,0.050297,0.087974
hmi,chirp,A1,4,195,0.082051,0.059945,0.104157
hmi,chirp,A1,5,128,0.084375,0.05771,0.11104
hmi,chirp,A1,6,75,0.093333,0.058673,0.127993
hmi,chirp,A1,7,42,0.159864,0.098612,0.221115
hmi,chirp,A1,8,16,0.289062,0.131361,0.446764
hmi,chirp,A1,9,5,0.133333,0.0,0.307555
hmi,chirp,A1,10,3,0.366667,0.0,0.764074
hmi,chirp,A1,12,3,0.25,0.000504,0.499496
hmi,chirp,A2,1,510,0.003922,0.0,0.009351
hmi,chirp,A2,2,618,0.064725,0.051292,0.078158
hmi,chirp,A2,3,631,0.064976,0.052847,0.077106
hmi,chirp,A2,4,435,0.066092,0.05207,0.080114
hmi,chirp,A2,5,311,0.061093,0.047615,0.074572
hmi,chirp,A2,6,183,0.087432,0.063981,0.110882
hmi,chirp,A2,7,120,0.096429,0.069272,0.123585
hmi,chirp,A2,8,48,0.119792,0.076661,0.162922
hmi,chirp,A2,9,21,0.148148,0.068155,0.228141
hmi,chirp,A2,10,13,0.061538,0.00931,0.113766
hmi,chirp,A2,11,3,0.030303,0.0,0.089697
hmi,chirp,A2,12,1,0.25,0.25,0.25
hmi,chirp,B1,1,369,0.01084,0.00026,0.02142
hmi,chirp,B1,2,375,0.057333,0.04036,0.074306
hmi,chirp,B1,3,372,0.050179,0.037307,0.063051
hmi,chirp,B1,4,277,0.063177,0.046905,0.079449
hmi,chirp,B1,5,179,0.044693,0.029627,0.059758
hmi,chirp,B1,6,129,0.068476,0.046722,0.090229
hmi,chirp,B1,7,60,0.109524,0.066204,0.152843
hmi,chirp,B1,8,31,0.060484,0.030702,0.090266
hmi,chirp,B1,9,17,0.03268,0.0,0.068913
hmi,chirp,B1,10,2,0.05,0.0,0.148
hmi,chirp,B1,12,1,0.0,0.0,0.0
