speech,model,cef,utterance_length,utterance_count,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper
hmi,chirp,A1,1,234,0.119658,0.06614,0.173176
hmi,chirp,A1,2,269,0.076208,0.048712,0.103704
hmi,chirp,A1,3,270,0.032099,0.018494,0.045704
hmi,chirp,A1,4,195,0.021795,0.011251,0.032339
hmi,chirp,A1,5,128,0.017188,0.006513,0.027862
hmi,chirp,A1,6,75,0.008889,0.000356,0.017422
hmi,chirp,A1,7,42,0.003401,0.0,0.010068
hmi,chirp,A1,8,16,0.0,0.0,0.0
hmi,chirp,A1,9,5,0.044444,0.0,0.097789
hmi,chirp,A1,10,3,0.0,0.0,0.0
hmi,chirp,A1,12,3,0.0,0.0,0.0
hmi,chirp,A2,1,510,0.205882,0.152386,0.259378
hmi,chirp,A2,2,618,0.095469,0.073856,0.117083
hmi,chirp,A2,3,631,0.054411,0.04223,0.066592
hmi,chirp,A2,4,435,0.02069,0.013293,0.028086
hmi,chirp,A2,5,311,0.02508,0.017085,0.033076
hmi,chirp,A2,6,183,0.031876,0.019696,0.044057
hmi,chirp,A2,7,120,0.02381,0.013158,0.034461
hmi,chirp,A2,8,48,0.018229,0.003659,0.0328
hmi,chirp,A2,9,21,0.015873,0.0,0.032913
hmi,chirp,A2,10,13,0.007692,0.0,0.022769
hmi,chirp,A2,11,3,0.0,0.0,0.0
hmi,chirp,A2,12,1,0.0,0.0,0.0
hmi,chirp,B1,1,369,0.192412,0.150081,0.234742
hmi,chirp,B1,2,375,0.077333,0.054366,0.1003
hmi,chirp,B1,3,372,0.047491,0.031816,0.063166
hmi,chirp,B1,4,277,0.041516,0.02894,0.054092
hmi,chirp,B1,5,179,0.032402,0.018811,0.045993
hmi,chirp,B1,6,129,0.029716,0.01605,0.043382
hmi,chirp,B1,7,60,0.019048,0.004982,0.033113
hmi,chirp,B1,8,31,0.012097,0.0,0.025321
hmi,chirp,B1,9,17,0.013072,0.0,0.030613
hmi,chirp,B1,10,2,0.0,0.0,0.0
hmi,chirp,B1,12,1,0.0,0.0,0.0
