speech,model,cef,destination_pos,count,percentage
hmi,chirp,A1,ADJ,60,7.4442
hmi,chirp,A1,ADP,52,6.4516
hmi,chirp,A1,ADV,46,5.7072
hmi,chirp,A1,AUX,31,3.8462
hmi,chirp,A1,CCONJ,25,3.1017
hmi,chirp,A1,DET,94,11.6625
hmi,chirp,A1,INTJ,25,3.1017
hmi,chirp,A1,NOUN,157,19.4789
hmi,chirp,A1,NUM,5,0.6203
hmi,chirp,A1,PRON,126,15.6328
hmi,chirp,A1,PROPN,42,5.2109
hmi,chirp,A1,PUNCT,0,0.0
hmi,chirp,A1,SCONJ,3,0.3722
hmi,chirp,A1,SYM,52,6.4516
hmi,chirp,A1,VERB,88,10.9181
hmi,chirp,A2,ADJ,169,8.6357
hmi,chirp,A2,ADP,114,5.8252
hmi,chirp,A2,ADV,152,7.767
hmi,chirp,A2,AUX,112,5.723
hmi,chirp,A2,CCONJ,33,1.6863
hmi,chirp,A2,DET,158,8.0736
hmi,chirp,A2,INTJ,39,1.9928
hmi,chirp,A2,NOUN,399,20.3883
hmi,chirp,A2,NUM,18,0.9198
hmi,chirp,A2,PRON,328,16.7603
hmi,chirp,A2,PROPN,117,5.9785
hmi,chirp,A2,PUNCT,1,0.0511
hmi,chirp,A2,SCONJ,19,0.9709
hmi,chirp,A2,SYM,44,2.2483
hmi,chirp,A2,VERB,254,12.979
hmi,chirp,B1,ADJ,87,8.0407
hmi,chirp,B1,ADP,71,6.5619
hmi,chirp,B1,ADV,76,7.024
hmi,chirp,B1,AUX,48,4.4362
hmi,chirp,B1,CCONJ,26,2.403
hmi,chirp,B1,DET,114,10.536
hmi,chirp,B1,INTJ,23,2.1257
hmi,chirp,B1,NOUN,243,22.4584
hmi,chirp,B1,NUM,17,1.5712
hmi,chirp,B1,PRON,178,16.451
hmi,chirp,B1,PROPN,58,5.3604
hmi,chirp,B1,PUNCT,0,0.0
hmi,chirp,B1,SCONJ,14,1.2939
hmi,chirp,B1,SYM,31,2.8651
hmi,chirp,B1,VERB,96,8.8725
