speech_type,model,cef,error_type,source_pos,error_count,reference_count,category_error_rate,category_error_rate_ci_lower,category_error_rate_ci_upper
read,whisper,A1,deletion,ADJ,35,758,0.046174,0.031234,0.061114
read,whisper,A1,deletion,ADP,43,1024,0.041992,0.029707,0.054277
read,whisper,A1,deletion,ADV,32,767,0.041721,0.02757,0.055872
read,whisper,A1,deletion,AUX,11,508,0.021654,0.008996,0.034311
read,whisper,A1,deletion,CCONJ,17,392,0.043367,0.023204,0.063531
read,whisper,A1,deletion,DET,56,964,0.058091,0.043325,0.072858
read,whisper,A1,deletion,INTJ,5,19,0.263158,0.065154,0.461162
read,whisper,A1,deletion,NOUN,75,1946,0.038541,0.029988,0.047093
read,whisper,A1,deletion,NUM,17,193,0.088083,0.048098,0.128068
read,whisper,A1,deletion,PRON,39,894,0.043624,0.030235,0.057014
read,whisper,A1,deletion,PROPN,56,222,0.252252,0.195121,0.309384
read,whisper,A1,deletion,SCONJ,4,135,0.02963,0.001026,0.058233
read,whisper,A1,deletion,SYM,56,94,0.595745,0.496536,0.694953
read,whisper,A1,deletion,VERB,39,907,0.042999,0.029797,0.056201
read,whisper,A1,deletion,X,1,2,0.5,0.0,1.0
read,whisper,A2,deletion,ADJ,110,2031,0.054161,0.044317,0.064004
read,whisper,A2,deletion,ADP,105,2760,0.038043,0.030906,0.045181
read,whisper,A2,deletion,ADV,78,2031,0.038405,0.030047,0.046762
read,whisper,A2,deletion,AUX,33,1318,0.025038,0.016603,0.033473
read,whisper,A2,deletion,CCONJ,32,897,0.035674,0.023536,0.047813
read,whisper,A2,deletion,DET,137,2757,0.049692,0.04158,0.057803
read,whisper,A2,deletion,INTJ,13,34,0.382353,0.219003,0.545703
read,whisper,A2,deletion,NOUN,288,5271,0.054639,0.048503,0.060774
read,whisper,A2,deletion,NUM,52,457,0.113786,0.084671,0.1429
read,whisper,A2,deletion,PRON,96,2300,0.041739,0.033566,0.049913
read,whisper,A2,deletion,PROPN,111,599,0.185309,0.154193,0.216425
read,whisper,A2,deletion,SCONJ,7,376,0.018617,0.004954,0.03228
read,whisper,A2,deletion,SYM,88,166,0.53012,0.454196,0.606045
read,whisper,A2,deletion,VERB,84,2444,0.03437,0.027147,0.041593
read,whisper,A2,deletion,X,5,12,0.416667,0.137722,0.695611
read,whisper,B1,deletion,ADJ,24,724,0.033149,0.020108,0.04619
read,whisper,B1,deletion,ADP,27,991,0.027245,0.017109,0.037381
read,whisper,B1,deletion,ADV,28,715,0.039161,0.024942,0.053379
read,whisper,B1,deletion,AUX,11,473,0.023256,0.009673,0.036838
read,whisper,B1,deletion,CCONJ,16,336,0.047619,0.024848,0.07039
read,whisper,B1,deletion,DET,41,1004,0.040837,0.028594,0.053079
read,whisper,B1,deletion,INTJ,2,4,0.5,0.01,0.99
read,whisper,B1,deletion,NOUN,87,1894,0.045935,0.036506,0.055363
read,whisper,B1,deletion,NUM,13,158,0.082278,0.039431,0.125126
read,whisper,B1,deletion,PRON,26,803,0.032379,0.020136,0.044621
read,whisper,B1,deletion,PROPN,27,186,0.145161,0.094536,0.195787
read,whisper,B1,deletion,SCONJ,4,141,0.028369,0.000965,0.055773
read,whisper,B1,deletion,SYM,22,45,0.488889,0.342835,0.634943
read,whisper,B1,deletion,VERB,14,850,0.016471,0.007914,0.025027
read,whisper,B1,deletion,X,3,5,0.6,0.170586,1.0
